Date,Time,NY-15,Scada
04-06-2021,07:00:00,0.0,-187.2
04-06-2021,07:15:00,0.0,-184.59
04-06-2021,07:30:00,0.0,-182.31
04-06-2021,07:45:00,0.0,-180.53
04-06-2021,08:00:00,0.0,-202.79
04-06-2021,08:15:00,0.0,-235.22
04-06-2021,08:30:00,0.0,-286.33
04-06-2021,08:45:00,0.0,-321.54
04-06-2021,09:00:00,0.0,-338.81
04-06-2021,09:15:00,0.0,-354.99
04-06-2021,09:30:00,0.0,-355.4
04-06-2021,09:45:00,0.0,-371.35
04-06-2021,10:00:00,0.0,-401.77
04-06-2021,10:15:00,0.0,-414.99
04-06-2021,10:30:00,0.0,-426.95
04-06-2021,10:45:00,0.0,-429.95
04-06-2021,11:00:00,0.0,-395.88
04-06-2021,11:15:00,0.0,-343.57
04-06-2021,11:30:00,0.0,-313.26
04-06-2021,11:45:00,0.0,-332.49
04-06-2021,12:00:00,0.0,-355.22
04-06-2021,12:15:00,0.0,-340.61
04-06-2021,12:30:00,0.0,-327.79
04-06-2021,12:45:00,0.0,-324.66
04-06-2021,13:00:00,0.0,-317.69
04-06-2021,13:15:00,0.0,-318.93
04-06-2021,13:30:00,0.0,-319.21
04-06-2021,13:45:00,0.0,-326.1
04-06-2021,14:00:00,0.0,-321.97
04-06-2021,14:15:00,0.0,-314.75
04-06-2021,14:30:00,0.0,-309.81
04-06-2021,14:45:00,0.0,-314.01
04-06-2021,15:00:00,0.0,-311.37
04-06-2021,15:15:00,0.0,-307.96
04-06-2021,15:30:00,0.0,-376.49
04-06-2021,15:45:00,0.0,-441.55
04-06-2021,16:00:00,0.0,-428.61
04-06-2021,16:15:00,0.0,-405.57
04-06-2021,16:30:00,0.0,-393.05
04-06-2021,16:45:00,0.0,-399.41
04-06-2021,17:00:00,0.0,-373.61
04-06-2021,17:15:00,0.0,-366.56
04-06-2021,17:30:00,0.0,-346.98
04-06-2021,17:45:00,0.0,-229.91
04-06-2021,18:00:00,0.0,-224.75
04-06-2021,18:15:00,0.0,-213.98
04-06-2021,18:30:00,0.0,-219.53
04-06-2021,18:45:00,0.0,-203.98
04-06-2021,19:00:00,0.0,-198.16
04-06-2021,19:15:00,0.0,-204.04
04-06-2021,19:30:00,0.0,-213.01
04-06-2021,19:45:00,0.0,-240.88
04-06-2021,20:00:00,0.0,-271.46
04-06-2021,20:15:00,0.0,-278.16
04-06-2021,20:30:00,0.0,-272.83
04-06-2021,20:45:00,0.0,-266.66
04-06-2021,21:00:00,0.0,-299.34
04-06-2021,21:15:00,0.0,-317.2
04-06-2021,21:30:00,0.0,-324.48
04-06-2021,21:45:00,0.0,-327.57
04-06-2021,22:00:00,0.0,-316.75
04-06-2021,22:15:00,0.0,-298.08
04-06-2021,22:30:00,0.0,-302.5
04-06-2021,22:45:00,0.0,-284.6
04-06-2021,23:00:00,0.0,-284.99
04-06-2021,23:15:00,0.0,-301.54
04-06-2021,23:30:00,0.0,-313.23
04-06-2021,23:45:00,0.0,-324.93
05-06-2021,00:00:00,0.0,-331.68
05-06-2021,00:15:00,0.0,-345.16
05-06-2021,00:30:00,0.0,-342.51
05-06-2021,00:45:00,0.0,-356.18
05-06-2021,01:00:00,0.0,-376.41
05-06-2021,01:15:00,0.0,-389.01
05-06-2021,01:30:00,0.0,-402.49
05-06-2021,01:45:00,0.0,-396.94
05-06-2021,02:00:00,0.0,-389.47
05-06-2021,02:15:00,0.0,-394.34
05-06-2021,02:30:00,0.0,-385.86
05-06-2021,02:45:00,0.0,-369.95
05-06-2021,03:00:00,0.0,-366.84
05-06-2021,03:15:00,0.0,-360.45
05-06-2021,03:30:00,0.0,-365.11
05-06-2021,03:45:00,0.0,-362.22
05-06-2021,04:00:00,0.0,-360.73
05-06-2021,04:15:00,0.0,-354.0
05-06-2021,04:30:00,0.0,-353.23
05-06-2021,04:45:00,0.0,-355.2
05-06-2021,05:00:00,0.0,-322.71
05-06-2021,05:15:00,0.0,-269.18
05-06-2021,05:30:00,0.0,-236.84
05-06-2021,05:45:00,0.0,-199.94
05-06-2021,06:00:00,0.0,-168.07
05-06-2021,06:15:00,0.0,-151.95
05-06-2021,06:30:00,0.0,-144.3
05-06-2021,06:45:00,0.0,-126.73
05-06-2021,07:00:00,0.0,-99.41
05-06-2021,07:15:00,0.0,-103.32
05-06-2021,07:30:00,0.0,-106.22
05-06-2021,07:45:00,0.0,-109.37
05-06-2021,08:00:00,0.0,-130.84
05-06-2021,08:15:00,0.0,-179.51
05-06-2021,08:30:00,0.0,-210.77
05-06-2021,08:45:00,0.0,-236.71
05-06-2021,09:00:00,0.0,-269.05
05-06-2021,09:15:00,0.0,-296.1
05-06-2021,09:30:00,0.0,-316.32
05-06-2021,09:45:00,0.0,-323.7
