Date,Time,NU-06,Scada
05-06-2021,17:15:00,0.0,33.39
05-06-2021,17:30:00,0.0,34.01
05-06-2021,17:45:00,0.0,32.66
05-06-2021,18:00:00,0.0,34.87
05-06-2021,18:15:00,0.0,40.28
05-06-2021,18:30:00,0.0,42.38
05-06-2021,18:45:00,0.0,44.45
05-06-2021,19:00:00,0.0,46.83
05-06-2021,19:15:00,0.0,51.37
05-06-2021,19:30:00,0.0,53.75
05-06-2021,19:45:00,0.0,56.11
05-06-2021,20:00:00,0.0,57.93
05-06-2021,20:15:00,0.0,60.8
05-06-2021,20:30:00,0.0,62.57
05-06-2021,20:45:00,0.0,63.68
05-06-2021,21:00:00,0.0,63.79
05-06-2021,21:15:00,0.0,63.71
05-06-2021,21:30:00,0.0,64.1
05-06-2021,21:45:00,0.0,65.0
05-06-2021,22:00:00,0.0,64.39
05-06-2021,22:15:00,0.0,64.19
05-06-2021,22:30:00,0.0,64.17
05-06-2021,22:45:00,0.0,63.28
05-06-2021,23:00:00,0.0,63.83
05-06-2021,23:15:00,0.0,62.6
05-06-2021,23:30:00,0.0,61.42
05-06-2021,23:45:00,0.0,60.27
06-06-2021,00:00:00,0.0,60.18
06-06-2021,00:15:00,0.0,59.8
06-06-2021,00:30:00,0.0,58.96
06-06-2021,00:45:00,0.0,58.78
06-06-2021,01:00:00,0.0,58.19
06-06-2021,01:15:00,0.0,58.17
06-06-2021,01:30:00,0.0,57.53
06-06-2021,01:45:00,0.0,57.2
06-06-2021,02:00:00,0.0,56.76
06-06-2021,02:15:00,0.0,56.33
06-06-2021,02:30:00,0.0,55.63
06-06-2021,02:45:00,0.0,54.15
06-06-2021,03:00:00,0.0,53.29
06-06-2021,03:15:00,0.0,52.62
06-06-2021,03:30:00,0.0,52.55
06-06-2021,03:45:00,0.0,51.96
06-06-2021,04:00:00,0.0,50.65
06-06-2021,04:15:00,0.0,50.52
06-06-2021,04:30:00,0.0,50.9
06-06-2021,04:45:00,0.0,51.35
06-06-2021,05:00:00,0.0,50.16
06-06-2021,05:15:00,0.0,47.25
06-06-2021,05:30:00,0.0,44.92
06-06-2021,05:45:00,0.0,42.0
06-06-2021,06:00:00,0.0,37.16
06-06-2021,06:15:00,0.0,31.68
06-06-2021,06:30:00,0.0,29.98
06-06-2021,06:45:00,0.0,26.41
06-06-2021,07:00:00,0.0,25.26
06-06-2021,07:15:00,0.0,23.99
06-06-2021,07:30:00,0.0,24.17
06-06-2021,07:45:00,0.0,25.79
06-06-2021,08:00:00,0.0,27.67
06-06-2021,08:15:00,0.0,31.74
06-06-2021,08:30:00,0.0,35.67
06-06-2021,08:45:00,0.0,40.49
06-06-2021,09:00:00,0.0,46.73
06-06-2021,09:15:00,0.0,53.49
06-06-2021,09:30:00,0.0,54.76
06-06-2021,09:45:00,0.0,56.16
06-06-2021,10:00:00,0.0,59.26
06-06-2021,10:15:00,0.0,61.89
06-06-2021,10:30:00,0.0,63.16
06-06-2021,10:45:00,0.0,62.26
06-06-2021,11:00:00,0.0,62.23
06-06-2021,11:15:00,0.0,63.41
06-06-2021,11:30:00,0.0,62.16
06-06-2021,11:45:00,0.0,61.29
06-06-2021,12:00:00,0.0,62.43
06-06-2021,12:15:00,0.0,62.91
06-06-2021,12:30:00,0.0,62.54
06-06-2021,12:45:00,0.0,62.77
06-06-2021,13:00:00,0.0,63.05
06-06-2021,13:15:00,0.0,62.74
06-06-2021,13:30:00,0.0,61.63
